"EventGroup","ImpactType","value","geography","table"
"Gallatin","Indirect",1981.70501717933,"Lewis and Clark County, MT (2024)","Impact"
"Gallatin","Induced",814.779052086819,"Lewis and Clark County, MT (2024)","Impact"
"Gallatin_MA","Indirect",15423.8240259106,"Lewis and Clark County, MT (2024)","Impact"
"Gallatin_MA","Induced",6080.87306264633,"Lewis and Clark County, MT (2024)","Impact"
"Glacier","Indirect",597.418407494584,"Lewis and Clark County, MT (2024)","Impact"
"Glacier","Induced",109.761516481282,"Lewis and Clark County, MT (2024)","Impact"
"Lewis and Clark","Direct",669676.800496742,"Lewis and Clark County, MT (2024)","Impact"
"Lewis and Clark","Indirect",356021.512418878,"Lewis and Clark County, MT (2024)","Impact"
"Lewis and Clark","Induced",154504.986322405,"Lewis and Clark County, MT (2024)","Impact"
"Madison","Indirect",737.196141641918,"Lewis and Clark County, MT (2024)","Impact"
"Madison","Induced",279.293398898136,"Lewis and Clark County, MT (2024)","Impact"
"Madison_MA","Indirect",3257.71900265167,"Lewis and Clark County, MT (2024)","Impact"
"Madison_MA","Induced",1476.40383177262,"Lewis and Clark County, MT (2024)","Impact"
"Missoula","Indirect",1353.92039291193,"Lewis and Clark County, MT (2024)","Impact"
"Missoula","Induced",303.322146009819,"Lewis and Clark County, MT (2024)","Impact"
"Missoula_MA","Indirect",283.900288888779,"Lewis and Clark County, MT (2024)","Impact"
"Missoula_MA","Induced",60.9481442689036,"Lewis and Clark County, MT (2024)","Impact"
"Park","Indirect",2364.20394673499,"Lewis and Clark County, MT (2024)","Impact"
"Park","Induced",1156.79762159212,"Lewis and Clark County, MT (2024)","Impact"
"Park_MA","Indirect",3123.14093440581,"Lewis and Clark County, MT (2024)","Impact"
"Park_MA","Induced",1527.94606468944,"Lewis and Clark County, MT (2024)","Impact"
"Ravalli","Indirect",143.689898366741,"Lewis and Clark County, MT (2024)","Impact"
"Ravalli","Induced",53.0852331449991,"Lewis and Clark County, MT (2024)","Impact"
"Rest of MT","Indirect",3849.2467383103,"Lewis and Clark County, MT (2024)","Impact"
"Rest of MT","Induced",1592.19255644289,"Lewis and Clark County, MT (2024)","Impact"
"Silver Bow","Indirect",436.026529695949,"Lewis and Clark County, MT (2024)","Impact"
"Silver Bow","Induced",86.979269523126,"Lewis and Clark County, MT (2024)","Impact"
"Yellowstone_MA","Indirect",199.371867248509,"Lewis and Clark County, MT (2024)","Impact"
"Yellowstone_MA","Induced",36.7932423255176,"Lewis and Clark County, MT (2024)","Impact"
"Cascade","Indirect",661.739073799695,"Missoula County, MT (2024)","Impact"
"Cascade","Induced",120.574797507369,"Missoula County, MT (2024)","Impact"
"Gallatin","Induced",507.617452463188,"Missoula County, MT (2024)","Impact"
"Gallatin_MA","Indirect",208.044320510224,"Missoula County, MT (2024)","Impact"
"Gallatin_MA","Induced",3697.93373937712,"Missoula County, MT (2024)","Impact"
"Lewis and Clark","Indirect",584.255156837786,"Missoula County, MT (2024)","Impact"
