"NAICS_2","FTE","EventGroup","table"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.000149815175686489,"Cascade_MA","Indirect & Induced Impacts"
"22 Utilities",0.00424922010306821,"Cascade_MA","Indirect & Induced Impacts"
"23 Construction",0.00712991918479843,"Cascade_MA","Indirect & Induced Impacts"
"31-33 Manufacturing",0.00416111724146028,"Cascade_MA","Indirect & Induced Impacts"
"42 Wholesale Trade",0.0112128786246299,"Cascade_MA","Indirect & Induced Impacts"
"44-45 Retail Trade",0.0519494342538795,"Cascade_MA","Indirect & Induced Impacts"
"48-49 Transportation and Warehousing",0.0437751247885519,"Cascade_MA","Indirect & Induced Impacts"
"51 Information",0.229686507775431,"Cascade_MA","Indirect & Induced Impacts"
"52 Finance and Insurance",0.0850181057993326,"Cascade_MA","Indirect & Induced Impacts"
"53 Real Estate and Rental and Leasing",0.0977907639490378,"Cascade_MA","Indirect & Induced Impacts"
"54 Professional, Scientific, and Technical Services",0.0869628859833155,"Cascade_MA","Indirect & Induced Impacts"
"55 Management of Companies and Enterprises",0.0113846955507808,"Cascade_MA","Indirect & Induced Impacts"
"56 Administrative and Support and Waste Management and Remediation Services",0.0803118707369648,"Cascade_MA","Indirect & Induced Impacts"
"61 Educational Services",0.00881227513222669,"Cascade_MA","Indirect & Induced Impacts"
"62 Health Care and Social Assistance",0.0718322263649325,"Cascade_MA","Indirect & Induced Impacts"
"71 Arts, Entertainment, and Recreation",0.195650886893143,"Cascade_MA","Indirect & Induced Impacts"
"72 Accommodation and Food Services",0.0481776565790375,"Cascade_MA","Indirect & Induced Impacts"
"81 Other Services (except Public Administration)",0.0373589606514635,"Cascade_MA","Indirect & Induced Impacts"
"9A Government Enterprises",0.00949772956998325,"Cascade_MA","Indirect & Induced Impacts"
"11 Agriculture, Forestry, Fishing and Hunting",0.0035235450469106,"Gallatin","All Impacts"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.00104274710505472,"Gallatin","All Impacts"
"22 Utilities",0.00631268097453378,"Gallatin","All Impacts"
"23 Construction",0.0183887699289019,"Gallatin","All Impacts"
"31-33 Manufacturing",0.0085161134402321,"Gallatin","All Impacts"
"42 Wholesale Trade",0.0383741399312886,"Gallatin","All Impacts"
"44-45 Retail Trade",0.147051196524369,"Gallatin","All Impacts"
"48-49 Transportation and Warehousing",0.11276731560511,"Gallatin","All Impacts"
"51 Information",3.08249161126392,"Gallatin","All Impacts"
"52 Finance and Insurance",0.150966008745817,"Gallatin","All Impacts"
"53 Real Estate and Rental and Leasing",0.203257198205759,"Gallatin","All Impacts"
"54 Professional, Scientific, and Technical Services",0.211042997087036,"Gallatin","All Impacts"
"55 Management of Companies and Enterprises",0.0134576068722803,"Gallatin","All Impacts"
"56 Administrative and Support and Waste Management and Remediation Services",0.156339196325428,"Gallatin","All Impacts"
"61 Educational Services",0.0300529899681794,"Gallatin","All Impacts"
"62 Health Care and Social Assistance",0.181740252738427,"Gallatin","All Impacts"
"71 Arts, Entertainment, and Recreation",0.53703845496929,"Gallatin","All Impacts"
"72 Accommodation and Food Services",0.132927980450853,"Gallatin","All Impacts"
"81 Other Services (except Public Administration)",0.113477516338493,"Gallatin","All Impacts"
"9A Government Enterprises",0.0140787840903736,"Gallatin","All Impacts"
"11 Agriculture, Forestry, Fishing and Hunting",0.0035235450469106,"Gallatin","Indirect & Induced Impacts"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.00104274710505472,"Gallatin","Indirect & Induced Impacts"
"22 Utilities",0.00631268097453378,"Gallatin","Indirect & Induced Impacts"
"23 Construction",0.0183887699289019,"Gallatin","Indirect & Induced Impacts"
"31-33 Manufacturing",0.0085161134402321,"Gallatin","Indirect & Induced Impacts"
"42 Wholesale Trade",0.0383741399312886,"Gallatin","Indirect & Induced Impacts"
"44-45 Retail Trade",0.147051196524369,"Gallatin","Indirect & Induced Impacts"
"48-49 Transportation and Warehousing",0.11276731560511,"Gallatin","Indirect & Induced Impacts"
"51 Information",0.673094396397018,"Gallatin","Indirect & Induced Impacts"
"52 Finance and Insurance",0.150966008745817,"Gallatin","Indirect & Induced Impacts"
"53 Real Estate and Rental and Leasing",0.203257198205759,"Gallatin","Indirect & Induced Impacts"
"54 Professional, Scientific, and Technical Services",0.211042997087036,"Gallatin","Indirect & Induced Impacts"
"55 Management of Companies and Enterprises",0.0134576068722803,"Gallatin","Indirect & Induced Impacts"
"56 Administrative and Support and Waste Management and Remediation Services",0.156339196325428,"Gallatin","Indirect & Induced Impacts"
"61 Educational Services",0.0300529899681794,"Gallatin","Indirect & Induced Impacts"
"62 Health Care and Social Assistance",0.181740252738427,"Gallatin","Indirect & Induced Impacts"
"71 Arts, Entertainment, and Recreation",0.53703845496929,"Gallatin","Indirect & Induced Impacts"
"72 Accommodation and Food Services",0.132927980450853,"Gallatin","Indirect & Induced Impacts"
"81 Other Services (except Public Administration)",0.113477516338493,"Gallatin","Indirect & Induced Impacts"
"9A Government Enterprises",0.0140787840903736,"Gallatin","Indirect & Induced Impacts"
"11 Agriculture, Forestry, Fishing and Hunting",0.0352342230893103,"Gallatin_MA","All Impacts"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.012085316181447,"Gallatin_MA","All Impacts"
"22 Utilities",0.0645141836702175,"Gallatin_MA","All Impacts"
"23 Construction",0.184568811209025,"Gallatin_MA","All Impacts"
"31-33 Manufacturing",0.0954292789356127,"Gallatin_MA","All Impacts"
"42 Wholesale Trade",0.38970104711515,"Gallatin_MA","All Impacts"
"44-45 Retail Trade",1.46411029970163,"Gallatin_MA","All Impacts"
"48-49 Transportation and Warehousing",1.16197483197378,"Gallatin_MA","All Impacts"
"51 Information",30.3833191716487,"Gallatin_MA","All Impacts"
"52 Finance and Insurance",1.530601436177,"Gallatin_MA","All Impacts"
"53 Real Estate and Rental and Leasing",2.01670267225003,"Gallatin_MA","All Impacts"
"54 Professional, Scientific, and Technical Services",2.10900420871039,"Gallatin_MA","All Impacts"
"55 Management of Companies and Enterprises",0.137128034153053,"Gallatin_MA","All Impacts"
"56 Administrative and Support and Waste Management and Remediation Services",1.57750996867514,"Gallatin_MA","All Impacts"
"61 Educational Services",0.304084672241791,"Gallatin_MA","All Impacts"
"62 Health Care and Social Assistance",1.80934192278392,"Gallatin_MA","All Impacts"
"71 Arts, Entertainment, and Recreation",5.30767710048638,"Gallatin_MA","All Impacts"
"72 Accommodation and Food Services",1.32167776580139,"Gallatin_MA","All Impacts"
"81 Other Services (except Public Administration)",1.13678061393749,"Gallatin_MA","All Impacts"
"9A Government Enterprises",0.148623752868803,"Gallatin_MA","All Impacts"
"11 Agriculture, Forestry, Fishing and Hunting",0.0352342230893103,"Gallatin_MA","Indirect & Induced Impacts"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.012085316181447,"Gallatin_MA","Indirect & Induced Impacts"
"22 Utilities",0.0645141836702175,"Gallatin_MA","Indirect & Induced Impacts"
